Interpret,Titel,Album,L‰nge,Jahr,Genre,Bewertung,Bitrate,Pfad,Medium
"Irina Dubcova","Na urovne serdca","VzrHitParOtRusRad","3:20",2011,"Pop",50,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\063. Irina Dubcova - Na urovne serdca.mp3",""
"Samira","Na Vostok","MuzDlyaMol4","3:29",2011,"Pop",70,256,"K:\studio\musik\2011\_lat\_pop\MuzDlyaMol4\49 Samira - Na Vostok.mp3",""
"Samira","Na Vostok","SamSHikNaPer","3:29",2011,"Pop",70,256,"K:\studio\musik\2011\_lat\_pop\SamSHikNaPer\49 Samira - Na Vostok.mp3",""
"Bazvanov Denis","Nad golovoyu","Slezy lyubvi","4:36",2011,"Pop",50,256,"K:\studio\musik\2011\_lat\_pop\Slezy_lubvi\71. Bazvanov Denis - Nad golovoyu.mp3",""
"T-Killah feat Nastya Kochetkova","Nad zemlei","DiskKurort","3:25",2011,"Pop",60,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\081. T-Killah feat Nastya Kochetkova - Nad zemlei.mp3",""
"T-Killah I N. Kochetkova","Nad Zemlej","LetoNaMuzTV","3:28",2011,"Pop",60,256,"K:\studio\musik\2011\_lat\_pop\LetoNaMuzTV\61 T-Killah I N. Kochetkova - Nad Zemlej.mp3",""
"T-Killah I N. Kochetkova","Nad Zemlej","XXXLVes2011","3:28",2011,"Pop",60,256,"K:\studio\musik\2011\_lat\_pop\XXXLVes2011\94 T-Killah I N. Kochetkova - Nad Zemlej.mp3",""
"T-killah & Nastya Kochetkova","Nad Zemlej (DJ Vengerov remix)","SamSHikNaPer","3:49",2011,"Pop",60,256,"K:\studio\musik\2011\_lat\_pop\SamSHikNaPer\95 T-killah & Nastya Kochetkova - Nad Zemlej (DJ Vengerov remix).mp3",""
"Opium Project","Nakrichi na menya","DiskKurort","4:17",2011,"Pop",60,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\019. Opium Project - Nakrichi na menya.mp3",""
"Natanika i Aleksandr Tischenko","Nam ne ponyat'","Vse Zvezdy 2011","4:32",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\173_Natanika i Aleksandr Tischenko - Nam ne ponyat'.mp3",""
"Diskoteka Avariya","Nano Tehno (Extended Club Mix)","Piratskaj stancij","5:18",2011,"Pop",50,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\001 Diskoteka Avariya - Nano Tekhno (Extended Club Mix).mp3",""
"Diskoteka Avariya","Nano Tekhno","LetoNaMuzTV","3:26",2011,"Pop",50,256,"K:\studio\musik\2011\_lat\_pop\LetoNaMuzTV\97 Diskoteka Avariya - Nano Tekhno.mp3",""
"Diskoteka Avariya","Nano tekhno","VzrHitParOtRusRad","3:26",2011,"Pop",50,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\110. Diskoteka Avariya - Nano tekhno.mp3",""
"Diskoteka Avariya","Nano Tekhno","XXXLVes2011","3:26",2011,"Pop",50,320,"K:\studio\musik\2011\_lat\_pop\XXXLVes2011\12 Diskoteka Avariya - Nano Tekhno.mp3",""
"Vel'vet","Nanolyubov'","MuzDlyaMol4","4:04",2011,"Pop",40,256,"K:\studio\musik\2011\_lat\_pop\MuzDlyaMol4\83 Vel'vet - Nanolyubov'.mp3",""
"Vel'vet","Nanolyubov'","VzrHitParOtRusRad","4:03",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\106. Vel'vet - Nanolyubov'.mp3",""
"Lady D","Napominaet","Vse Zvezdy 2011","3:00",2011,"Pop",60,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\179_Lady D - Napominaet.mp3",""
"Irakli","Napopolam","LetoNaMuzTV","3:19",2011,"Pop",60,256,"K:\studio\musik\2011\_lat\_pop\LetoNaMuzTV\60 Irakli - Napopolam.mp3",""
"Irakli","Napopolam","VzrHitParOtRusRad","3:19",2011,"Pop",60,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\029. Irakli - Napopolam.mp3",""
"Stasya","Nashe leto","Slezy lyubvi","4:02",2011,"Pop",90,256,"K:\studio\musik\2011\_lat\_pop\Slezy_lubvi\86. Stasya - Nashe leto.mp3",""
"Aelektra","Nastrojsya na nebo","VzrHitParOtRusRad","3:50",2011,"Pop",60,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\093. Aelektra - Nastrojsya na nebo.mp3",""
"Ae. Shul'zhevskij","Nastya","XXXLVes2011","3:38",2011,"Pop",70,256,"K:\studio\musik\2011\_lat\_pop\XXXLVes2011\43 Ae. Shul'zhevskij - Nastya.mp3",""
"Anastasiya Trianna","Naturschica","Vse Zvezdy 2011","3:54",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\053_Anastasiya Trianna - Naturschica.mp3",""
"VERBA","Nauchis' letat'","Vse Zvezdy 2011","3:24",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\059_VERBA - Nauchis' letat'.mp3",""
"Pavla","Navsegda","VzrHitParOtRusRad","4:03",2011,"Pop",60,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\146. Pavla - Navsegda.mp3",""
"Pavla","Navsegda (DJ Glazunov & Alex ALL B Remix)","Piratskaj stancij","6:03",2011,"Pop",60,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\043 Pavla - Navsegda (DJ Glazunov & Alex ALL B Remix).mp3",""
"Elena Kukarskaya","Ne angel","VzrHitParOtRusRad","3:20",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\065. Elena Kukarskaya - Ne angel.mp3",""
"Rinat Karimov","Ne begi","Vse Zvezdy 2011","3:53",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\103_Rinat Karimov - Ne begi.mp3",""
"Vera Brezhneva","Ne begi za mnoj","HitNastSummer","3:21",2011,"Pop",40,256,"K:\studio\musik\2011\_lat\_pop\HitNastSummer\94.  Vera Brezhneva - Ne begi za mnoj .mp3",""
"Vitalij Kozlovskij","Ne Boyus'","LetoNaMuzTV","3:28",2011,"Pop",50,256,"K:\studio\musik\2011\_lat\_pop\LetoNaMuzTV\24 Vitalij Kozlovskij - Ne Boyus'.mp3",""
"Infiniti","Ne Molchi","XXXLVes2011","3:32",2011,"Pop",30,256,"K:\studio\musik\2011\_lat\_pop\XXXLVes2011\45 Infiniti - Ne Molchi.mp3",""
"E.V.A","Ne nado","VzrHitParOtRusRad","3:41",2011,"Pop",60,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\048. E.V.A - Ne nado.mp3",""
"Aeva","Ne otpuskaj menya","HitNastSummer","3:24",2011,"Pop",50,256,"K:\studio\musik\2011\_lat\_pop\HitNastSummer\63.  Aeva - Ne otpuskaj menya .mp3",""
"Aeva","Ne otpuskaj menya","Vse Zvezdy 2011","3:24",2011,"Pop",60,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\111_Aeva - Ne otpuskaj menya.mp3",""
"Aeva","Ne otpuskaj menya","VzrHitParOtRusRad","3:24",2011,"Pop",50,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\172. Aeva - Ne otpuskaj menya.mp3",""
"Natasha Koroleva","Ne otpuskaj menya","HitNastSummer","3:21",2011,"Pop",50,256,"K:\studio\musik\2011\_lat\_pop\HitNastSummer\33.  Natasha Koroleva - Ne otpuskaj menya .mp3",""
"In'-Yan","Ne otpuskaj moej ruki","VzrHitParOtRusRad","3:45",2011,"Pop",60,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\181. In'-Yan - Ne otpuskaj moej ruki.mp3",""
"In'-Yan","Ne Otpuskaj Moej Ruki","XXXLVes2011","3:45",2011,"Pop",60,256,"K:\studio\musik\2011\_lat\_pop\XXXLVes2011\57 In'-Yan - Ne Otpuskaj Moej Ruki.mp3",""
"Aeva","Ne otpuskay menya (DJ XM & DJ Zvukoff Radio Edit)","Piratskaj stancij","3:31",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\119 Aeva - Ne otpuskaj menya (DJ XM & DJ Zvukoff Radio Edit).mp3",""
"BandAeros","Ne pod aetim solncem","MuzDlyaMol4","3:52",2011,"Pop",40,256,"K:\studio\musik\2011\_lat\_pop\MuzDlyaMol4\75 BandAeros - Ne pod aetim solncem.mp3",""
"BandAeros","Ne pod aetim solncem","SamSHikNaPer","3:52",2011,"Pop",40,256,"K:\studio\musik\2011\_lat\_pop\SamSHikNaPer\35 BandAeros - Ne pod aetim solncem.mp3",""
"BandAeros","Ne pod aetim solncem","VzrHitParOtRusRad","3:54",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\051. BandAeros - Ne pod aetim solncem.mp3",""
"Bandaeros","Ne Pod Aetim Solncem","XXXLVes2011","3:52",2011,"Pop",40,256,"K:\studio\musik\2011\_lat\_pop\XXXLVes2011\87 Bandaeros - Ne Pod Aetim Solncem.mp3",""
"Dzhanni Stella","Ne prostila","Slezy lyubvi","3:49",2011,"Pop",60,256,"K:\studio\musik\2011\_lat\_pop\Slezy_lubvi\63. Dzhanni Stella - Ne prostila.mp3",""
"Eva Polna","Ne rasstavayas","DiskKurort","3:08",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\039. Eva Polna - Ne rasstavayas.mp3",""
"Aerika","Ne tormozi","HitNastSummer","3:28",2011,"Pop",40,256,"K:\studio\musik\2011\_lat\_pop\HitNastSummer\48.  Aerika - Ne tormozi .mp3",""
"Keosayan Laura","Ne uletay","Slezy lyubvi","3:56",2011,"Pop",60,256,"K:\studio\musik\2011\_lat\_pop\Slezy_lubvi\59. Keosayan Laura - Ne uletay.mp3",""
"Serebro","Ne vremya","HitNastSummer","3:44",2011,"Pop",60,256,"K:\studio\musik\2011\_lat\_pop\HitNastSummer\38.  Serebro - Ne vremya .mp3",""
"Oleg Gorshkov i gr. Mechtat'","Ne zabyvaj","Vse Zvezdy 2011","3:02",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\163_Oleg Gorshkov i gr. Mechtat' - Ne zabyvaj.mp3",""
"Zhenya Fokin i Vlada Yakovleva; ∆ÂÌˇ ‘ÓÍËÌ Ë ¬Î‡‰‡ ﬂÍÓ‚ÎÂ‚‡","Ne zabyvay menya","VzrHitParOtRusRad","3:30",2011,"Pop; www.freshmp3music.ru",40,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\005. Zhenya Fokin i Vlada Yakovleva - Ne zabyvaj menya.mp3",""
"Zhasmin","Ne zhaleyu","DiskKurort","3:23",2011,"Pop",60,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\011. Zhasmin - Ne zhaleyu.mp3",""
"Eva","Ne Zhena","LetoNaMuzTV","3:32",2011,"Pop",20,256,"K:\studio\musik\2011\_lat\_pop\LetoNaMuzTV\45 Eva - Ne Zhena.mp3",""
"Goryachij shokolad","Neba malo","VzrHitParOtRusRad","3:24",2011,"Pop",50,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\042. Goryachij shokolad - Neba malo.mp3",""
"Dj Smell & 2Dox","Nebesa (Original Mix)","Tanceval_Dinamika","5:34",2011,"Pop",20,320,"K:\studio\musik\2011\_lat\_pop\Tanceval_Dinamika\05. Dj Smell & 2Dox - Nebesa (Original Mix).mp3",""
"Kamaliya","Nebo Za Lyubov'","XXXLVes2011","3:30",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\XXXLVes2011\02 Kamaliya - Nebo Za Lyubov'.mp3",""
"Alisiya","Nebo zhelanij","VzrHitParOtRusRad","3:21",2011,"Pop",60,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\136. Alisiya - Nebo zhelanij.mp3",""
"Alisiya","Nebo Zhelanij (DJ Fisun Remix)","LetoNaMuzTV","3:14",2011,"Pop",60,256,"K:\studio\musik\2011\_lat\_pop\LetoNaMuzTV\58 Alisiya - Nebo Zhelanij (DJ Fisun Remix).mp3",""
"Alisiya","Nebo zhelaniy (DJ Fisun Edit)","Piratskaj stancij","3:17",2011,"Pop",60,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\019 Alisiya - Nebo zhelanij (DJ Fisun Edit).mp3",""
"Myata","Nedelimoe serdce","Vse Zvezdy 2011","3:20",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\177_Myata - Nedelimoe serdce.mp3",""
"Diskoteka Avariya","Nedetskoe vremya","MuzDlyaMol4","3:57",2011,"Pop",30,256,"K:\studio\musik\2011\_lat\_pop\MuzDlyaMol4\05 Diskoteka Avariya - Nedetskoe vremya.mp3",""
"Diskoteka Avariya","Nedetskoe vremya","SamSHikNaPer","3:57",2011,"Pop",30,256,"K:\studio\musik\2011\_lat\_pop\SamSHikNaPer\85 Diskoteka Avariya - Nedetskoe vremya.mp3",""
"Diskoteka Avariya","Nedetskoe vremya (DJ Pawlo Extended Version)","Piratskaj stancij","4:19",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\141 Diskoteka Avariya - Nedetskoe vremya (DJ Pawlo Extended Version).mp3",""
"Diskoteka Avariya","Nekuda Devat'sya (Ural Djs Edit)","Piratskaj stancij","3:52",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\073 Diskoteka Avariya - Nekuda Devat'sya (Ural Djs Edit).mp3",""
"Natal'ya Senchukova","Neobkhodimo","Vse Zvezdy 2011","3:04",2011,"Pop",60,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\065_Natal'ya Senchukova - Neobkhodimo.mp3",""
"Lera Lera","Nepriyatno","XXXLVes2011","3:16",2011,"Pop",50,256,"K:\studio\musik\2011\_lat\_pop\XXXLVes2011\08 Lera Lera - Nepriyatno.mp3",""
"Moed","Nesmelaya","Slezy lyubvi","3:37",2011,"Pop",60,256,"K:\studio\musik\2011\_lat\_pop\Slezy_lubvi\47. Myod - Nesmelaya.mp3",""
"A&apos; Studio","Nesvobodnoe padenie","Vse Zvezdy 2011","3:26",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\039_A&apos;Studio - Nesvobodnoe padenie.mp3",""
"AStudio","Nesvobodnoe padenie","VzrHitParOtRusRad","3:26",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\111. AStudio - Nesvobodnoe padenie.mp3",""
"Gajtana","Net Rodnej","HitNastSummer","4:33",2011,"Pop",50,256,"K:\studio\musik\2011\_lat\_pop\HitNastSummer\31.  Gajtana - Net Rodnej .mp3",""
"Gajtana","Net Rodnej","XXXLVes2011","4:33",2011,"Pop",50,256,"K:\studio\musik\2011\_lat\_pop\XXXLVes2011\67 Gajtana - Net Rodnej.mp3",""
"DJ Aligator feat. Bijan Mortazavi","Never Forget","Piratskaj stancij","4:05",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\076 DJ Aligator feat. Bijan Mortazavi - Never Forget.mp3",""
"Mumij Troll'","Nevesta (DJ Viduta Remix)","Piratskaj stancij","4:44",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\077 Mumij Troll' - Nevesta (DJ Viduta Remix).mp3",""
"Tokio","Nezhnost'","HitNastSummer","4:23",2011,"Pop",40,256,"K:\studio\musik\2011\_lat\_pop\HitNastSummer\39.  Tokio - Nezhnost' .mp3",""
"Tokio","Nezhnost'","LetoNaMuzTV","4:23",2011,"Pop",40,256,"K:\studio\musik\2011\_lat\_pop\LetoNaMuzTV\33 Tokio - Nezhnost'.mp3",""
"Daefoliant","Nikolaj","Vse Zvezdy 2011","2:36",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\145_Daefoliant - Nikolaj.mp3",""
"Daefoliant","Nikolaj","VzrHitParOtRusRad","2:36",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\198. Daefoliant - Nikolaj.mp3",""
"Zveri","Nikomu","MuzDlyaMol4","3:05",2011,"Pop",50,256,"K:\studio\musik\2011\_lat\_pop\MuzDlyaMol4\78 Zveri - Nikomu.mp3",""
"Zveri","Nikomu","SamSHikNaPer","3:05",2011,"Pop",50,256,"K:\studio\musik\2011\_lat\_pop\SamSHikNaPer\38 Zveri - Nikomu.mp3",""
"Kevin Twice","No More Crying","Vse Zvezdy 2011","3:34",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\138_Kevin Twice - No More Crying.mp3",""
"V.L.A.D","No Sex","Vse Zvezdy 2011","3:08",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\131_V.L.A.D - No Sex.mp3",""
"Orbakajte Kristina","Noch. podruga","Slezy lyubvi","4:04",2011,"Pop",80,256,"K:\studio\musik\2011\_lat\_pop\Slezy_lubvi\18. Orbakayte Kristina - Noch. podruga.mp3",""
"Klandike","Nochami","XXXLVes2011","3:49",2011,"Pop",20,256,"K:\studio\musik\2011\_lat\_pop\XXXLVes2011\78 Klandike - Nochami.mp3",""
"Dmitrij Koldun","Nochnoj pilot","VzrHitParOtRusRad","3:54",2011,"Pop",60,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\039. Dmitrij Koldun - Nochnoj pilot.mp3",""
"Maxima","Nol' K Odnomu","XXXLVes2011","3:52",2011,"Pop",30,256,"K:\studio\musik\2011\_lat\_pop\XXXLVes2011\90 Maxima - Nol' K Odnomu.mp3",""
"Eminem","Not Afraid","DiskKurort","4:10",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\072. Eminem - Not Afraid.mp3",""
"Armin Van Buuren,Sophie Ellis Bextor","Not Giving Up","DiskKurort","4:47",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\014. Armin Van Buuren,Sophie Ellis Bextor - Not Giving Up  .mp3",""
"Armin Van Buuren vs. Sohpie Ellis Bextor","Not Giving Up on Love (Samuele Sartini Remix Edit)","Vse Zvezdy 2011","3:30",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\090_Armin Van Buuren vs. Sohpie Ellis Bextor - Not Giving Up on Love (Samuele Sartini Remix Edit).mp3",""
"Chuk i Gek feat. Nikita","Novyj den'","VzrHitParOtRusRad","4:02",2011,"Pop",50,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\070. Chuk i Gek feat. Nikita - Novyj den'.mp3",""
"Chuk i Gek feat. Nikita (Nikita)","Novyj Den'","XXXLVes2011","4:02",2011,"Pop",50,256,"K:\studio\musik\2011\_lat\_pop\XXXLVes2011\11 Chuk i Gek feat. Nikita (Nikita) - Novyj Den'.mp3",""
"Infiniti","Nu i pust (dance Mix Extended)","DiskKurort","4:32",2011,"Pop",60,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\137. Infiniti - Nu i pust (dance Mix Extended).mp3",""
"Infiniti","Nu i pust' (Radio Mix)","VzrHitParOtRusRad","3:33",2011,"Pop",60,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\187. Infiniti - Nu i pust' (Radio Mix).mp3",""
"Nicolae Guta & Sorina","Nunta","DiskKurort","3:37",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\134. Nicolae Guta & Sorina - Nunta.mp3",""
"Evgenii Anegin & Yulya Mikhalchik","O lyubvi","DiskKurort","3:41",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\055. Evgenii Anegin & Yulya Mikhalchik - O lyubvi.mp3",""
"Timur Rodrigez","O tebe","DiskKurort","3:41",2011,"Pop",80,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\199. Timur Rodrigez - O tebe.mp3",""
"Timur Rodrigez","O Tebe","HitNastSummer","3:42",2011,"Pop",80,256,"K:\studio\musik\2011\_lat\_pop\HitNastSummer\10.  Timur Rodrigez - O Tebe .mp3",""
"Timur Rodrigez","O tebe","VzrHitParOtRusRad","3:40",2011,"Pop",80,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\135. Timur Rodrigez - O tebe.mp3",""
"Oliya","O tebe mechtala","Slezy lyubvi","4:02",2011,"Pop",30,256,"K:\studio\musik\2011\_lat\_pop\Slezy_lubvi\46. Oliya - O tebe mechtala.mp3",""
"Kirill Turichenko","Oblaka","VzrHitParOtRusRad","3:26",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\159. Kirill Turichenko - Oblaka.mp3",""
"Makhno Project","Oblaka","HitNastSummer","3:45",2011,"Pop",60,256,"K:\studio\musik\2011\_lat\_pop\HitNastSummer\76.  Makhno Project - Oblaka .mp3",""
"Iggy K","Oblaka V Moloko","XXXLVes2011","3:51",2011,"Pop",30,256,"K:\studio\musik\2011\_lat\_pop\XXXLVes2011\71 Iggy K - Oblaka V Moloko.mp3",""
"M.Pokora","Oblivion","Vse Zvezdy 2011","3:08",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\185_M.Pokora - Oblivion.mp3",""
"Eldar","Obmanula","DiskKurort","3:46",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\035. Eldar - Obmanula.mp3",""
"Nikol'","Obnimi Menya","LetoNaMuzTV","3:59",2011,"Pop",60,256,"K:\studio\musik\2011\_lat\_pop\LetoNaMuzTV\27 Nikol' - Obnimi Menya.mp3",""
"Julia Lasker","Ochen' zavodit menya","VzrHitParOtRusRad","4:03",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\086. Julia Lasker - Ochen' zavodit menya.mp3",""
"Slava","Odinochestvo","DiskKurort","3:01",2011,"Pop",90,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\187. Slava - Odinochestvo.mp3",""
"Slava","Odinochestvo","HitNastSummer","3:00",2011,"Pop",90,256,"K:\studio\musik\2011\_lat\_pop\HitNastSummer\12.  Slava - Odinochestvo .mp3",""
"Sergej Zhukov i Elena Lenina","Odinokaya zvezda","VzrHitParOtRusRad","2:55",2011,"Pop",60,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\010. Sergej Zhukov i Elena Lenina - Odinokaya zvezda.mp3",""
"Digi","Odna","XXXLVes2011","3:52",2011,"Pop",40,256,"K:\studio\musik\2011\_lat\_pop\XXXLVes2011\88 Digi - Odna.mp3",""
"Mitya Fomin","Ogni bol'shogo goroda","VzrHitParOtRusRad","3:28",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\108. Mitya Fomin - Ogni bol'shogo goroda.mp3",""
"Dirty Kidz feat. Shalya &amp; Don Seydina","Ole Ola (Extended French Version)","Vse Zvezdy 2011","4:19",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\126_Dirty Kidz feat. Shalya &amp; Don Seydina - Ole Ola (Extended French Version).mp3",""
"Payuschie trusy","Oligarkhi","VzrHitParOtRusRad","3:28",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\085. Payuschie trusy - Oligarkhi.mp3",""
"Uma2rmah","Olya Iz Seti","LetoNaMuzTV","4:17",2011,"Pop",40,256,"K:\studio\musik\2011\_lat\_pop\LetoNaMuzTV\66 Uma2rmah - Olya Iz Seti.mp3",""
"Dima Bilan","On khotel","HitNastSummer","3:11",2011,"Pop",20,256,"K:\studio\musik\2011\_lat\_pop\HitNastSummer\64.  Dima Bilan - On khotel .mp3",""
"Jennifer Lopez & Pitbull","On The Floor","DiskKurort","4:43",2011,"Pop",50,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\100. Jennifer Lopez & Pitbull - On The Floor.mp3",""
"Jennifer Lopez feat. Pitbull","On The Floor (DJ Nejtrino & DJ Baur Remix)","Piratskaj stancij","4:39",2011,"Pop",50,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\066 Jennifer Lopez feat. Pitbull - On The Floor (DJ Nejtrino & DJ Baur Remix).mp3",""
"Jennifer Lopez feat. Pitbull","On The Floor (Radio Edit)","Vse Zvezdy 2011","3:50",2011,"Pop",50,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\004_Jennifer Lopez feat. Pitbull - On The Floor (Radio Edit).mp3",""
"Verkhoturcev Viktor","Oni vernutsya","Slezy lyubvi","3:47",2011,"Pop",60,256,"K:\studio\musik\2011\_lat\_pop\Slezy_lubvi\44. Verhoturczev Viktor - Oni vernutsya.mp3",""
"Rihanna","Only Girl (In The World)","DiskKurort","3:56",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\056. Rihanna - Only Girl (In The World).mp3",""
"Fragma","Oops Sorry (Djs from Mars Club Remix)","Piratskaj stancij","5:17",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\088 Fragma - Oops Sorry (Djs from Mars Club Remix).mp3",""
"Majdanov Denis","Oranzhevoe solncze","Slezy lyubvi","4:24",2011,"Pop",70,256,"K:\studio\musik\2011\_lat\_pop\Slezy_lubvi\61. Maydanov Denis - Oranzhevoe solncze.mp3",""
"Gavrylyuk Oleg","Osen.","Slezy lyubvi","4:09",2011,"Pop",40,256,"K:\studio\musik\2011\_lat\_pop\Slezy_lubvi\65. Gavrylyuk Oleg - Osen..mp3",""
"Serega & Deti Kapitana Granta","Oskolki","VzrHitParOtRusRad","3:15",2011,"Pop",60,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\132. Serega & Deti Kapitana Granta - Oskolki.mp3",""
"Via Sirius","Oskolki","DiskKurort","4:07",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\029. Via Sirius - Oskolki.mp3",""
"Kirill Turichenko","Ostanovi menya","VzrHitParOtRusRad","3:41",2011,"Pop",50,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\177. Kirill Turichenko - Ostanovi menya.mp3",""
"Anna Semenovich i Filipp Kirkorov","Ot lyubvi do lyubvi","HitNastSummer","2:05",2011,"Pop",60,256,"K:\studio\musik\2011\_lat\_pop\HitNastSummer\77.  Anna Semenovich i Filipp Kirkorov - Ot lyubvi do lyubvi .mp3",""
"Karlos & Pindos","Ot Soso","XXXLVes2011","3:09",2011,"Pop",60,256,"K:\studio\musik\2011\_lat\_pop\XXXLVes2011\26 Karlos & Pindos - Ot Soso.mp3",""
"Alisiya","Otkroj moe serdce","HitNastSummer","3:15",2011,"Pop",60,256,"K:\studio\musik\2011\_lat\_pop\HitNastSummer\96.  Alisiya - Otkroj moe serdce .mp3",""
"Allysia","Otkroj moe serdce","VzrHitParOtRusRad","3:15",2011,"Pop",60,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\200. Allysia - Otkroj moe serdce.mp3",""
"Dzhigan i Yuliya Savicheva","Otpusti","DiskKurort","3:18",2011,"Pop",70,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\153. Dzhigan i Yuliya Savicheva - Otpusti.mp3",""
"Dzhigan i Yuliya Savicheva","Otpusti","VzrHitParOtRusRad","3:16",2011,"Pop",70,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\134. Dzhigan i Yuliya Savicheva - Otpusti.mp3",""
